Participant	Version	ID	Word	Response	Identification	Ind_word	RT	Novelty	Figure	Reg_degree	Reg_num	Pattern	Sentence	StimLen	WordLen	Freq	Score	C_S1	C_S2	C_change
P001	A	001	troubadour	N	N	NA	3.084	Novel	Metaphor	Low	2.5925925925925926	P12	J'ai rechargé le troubadour pour avoir de la musique sur la route.	66	10	17.0	3.398058	concrete	concrete	N
P001	A	002	mentor	Y	Y	mentor	2.929	Novel	Metaphor	Low	2.5925925925925926	P12	Il a glissé son mentor dans la valise pour le feuilleter en cas de problème.	76	6	14.0	3.398058	concrete	concrete	N
P001	A	003	barman	Y	Y	 barman	2.946	Novel	Metaphor	Low	2.5925925925925926	P12	On ne peut plus mettre d'argent dans le barman du hall.	55	6	16.0	3.398058	concrete	concrete	N
P001	A	004	vigile	Y	Y	vigile,	4.339	Novel	Metaphor	Low	2.5925925925925926	P12	Elle a mis le vigile, ouvert la porte et regardé par l'entrebâillement.	71	6	15.0	3.398058	concrete	concrete	N
P001	A	005	orange	Y	Y	orange	2.764	Novel	Metaphor	Low	2.4814814814814814	P11	Le maçon a étalé une orange de ciment entre les briques du mur.	63	6	12.0	4.028708	concrete	abstract	Y
P001	A	006	olive	Y	Y	olive	3.174	Novel	Metaphor	Low	2.4814814814814814	P11	Elle s'est mis une olive de crème solaire sur chaque épaule.	60	5	13.0	4.028708	concrete	abstract	Y
P001	A	007	pistache	N	N	NA	2.528	Novel	Metaphor	Low	2.4814814814814814	P11	J'ai ajouté une pistache de wasabi sur le sushi avant de le manger.	67	8	18.0	4.028708	concrete	abstract	Y
P001	A	008	chrysalide	Y	Y	chrysalides	3.583	Novel	Metaphor	Low	2.6666666666666665	P13	Le chef propose régulièrement des chrysalides aux myrtilles pour le dessert.	76	10	18.0	4.173913	concrete	concrete	N
P001	A	009	dune	Y	Y	dunes	3.446	Novel	Metaphor	Low	2.6666666666666665	P13	Il a passé sa matinée à cuisiner des dunes au chocolat.	55	4	10.0	4.173913	concrete	concrete	N
P001	A	010	banquise	Y	Y	banquise	1.704	Novel	Metaphor	Low	2.6666666666666665	P13	Elle a recouvert la banquise meringuée d'un coulis de framboise.	64	8	15.0	4.173913	concrete	concrete	N
P001	A	011	falaise	Y	Y	falaises	2.286	Novel	Metaphor	Low	2.6666666666666665	P13	J'ai encore raté mes falaises au miel le week-end dernier.	58	7	14.0	4.173913	concrete	concrete	N
P001	A	012	typhon	Y	Y	typhon	2.883	Novel	Metaphor	High	4.407407407407407	P14	Pendant la crise, un typhon de soucis s'est abattu sur les employés.	68	6	15.0	5.487685	abstract	abstract	N
P001	A	013	mistral	Y	Y	mistral	3.355	Novel	Metaphor	High	4.407407407407407	P14	Le scandale a été suivi d'un mistral de polémiques interminables.	65	7	16.0	5.487685	abstract	abstract	N
P001	A	014	séisme	Y	Y	séisme	2.638	Novel	Metaphor	High	4.407407407407407	P14	Le pays a connu un séisme de mouvements sociaux cette année.	60	6	11.0	5.487685	abstract	abstract	N
P001	A	015	genou	Y	Y	genou	3.611	Novel	Metaphor	High	4.592592592592593	P15	À première vue, le genou du parasol est sérieusement endommagé.	63	5	11.0	4.382775	concrete	concrete	N
P001	A	016	moustache	Y	Y	moustache	2.2	Novel	Metaphor	High	4.592592592592593	P15	Tous les matins, le concierge nettoie la moustache du balai.	60	9	15.0	4.382775	concrete	concrete	N
P001	A	017	trachée	Y	Y	trachée	3.084	Novel	Metaphor	High	4.592592592592593	P15	Des résidus de calcaire obstruent encore la trachée de la chaudière.	68	7	17.0	4.382775	concrete	concrete	N
P001	A	018	paupière	N	N	NA	2.725	Novel	Metaphor	High	4.592592592592593	P15	En nettoyant l'appareil photo, il a rayé la paupière de l'objectif.	67	8	15.0	4.382775	concrete	concrete	N
P001	A	019	obésité	Y	Y	obésité	2.605	Novel	Metaphor	High	5.518518518518518	P16	Il a prononcé un discours d'une obésité insupportable.	54	7	13.0	3.935644	abstract	abstract	N
P001	A	020	étanchéité	N	N	NA	2.898	Novel	Metaphor	High	5.518518518518518	P16	J'ai toujours été sidéré par l'étanchéité de sa mémoire.	56	10	14.0	3.935644	abstract	abstract	N
P001	A	021	fluorescence	N	N	NA	3.888	Novel	Metaphor	High	5.518518518518518	P16	Il y a beaucoup de fluorescence dans les idées de ce jeune homme.	65	12	15.0	3.935644	abstract	abstract	N
P001	A	022	congélateur	Y	Y	congélateur,	1.898	Novel	Metonymy	Low	3.0	P21	Je suis descendu au congélateur, mais son sol était encore glissant.	68	11	15.0	3.159204	concrete	concrete	N
P001	A	023	micro-ondes	Y	Y	micro-ondes	3.936	Novel	Metonymy	Low	3.0	P21	À l'institut, le micro-ondes donne accès à une cour où on peut fumer.	69	11	15.0	3.159204	concrete	concrete	N
P001	A	024	babyfoot	Y	Y	babyfoot	7.735	Novel	Metonymy	Low	3.0	P21	L'entreprise dispose d'un babyfoot ensoleillé pour les pauses des salariés.	75	8	20.0	3.159204	concrete	concrete	N
P001	A	025	sourcil	Y	Y	sourcils	2.046	Novel	Metonymy	Low	3.5555555555555554	P23	Les dossiers sont examinés par des sourcils expérimentés.	57	7	15.0	3.588517	concrete	concrete	N
P001	A	026	poing	Y	Y	poings	2.298	Novel	Metonymy	Low	3.5555555555555554	P23	Notre championnat voit s'affronter les poings les plus audacieux.	65	5	13.0	3.588517	concrete	concrete	N
P001	A	027	utérus	Y	Y	utérus	3.983	Novel	Metonymy	Low	3.5555555555555554	P23	Ce couple a engagé un utérus indien qui devrait s'installer en Europe.	70	6	14.0	3.588517	concrete	concrete	N
P001	A	028	gorge	N	N	NA	2.865	Novel	Metonymy	Low	3.5555555555555554	P23	La chorale cherche deux gorges puissantes pour compléter ses effectifs.	71	5	13.0	3.588517	concrete	concrete	N
P001	A	029	élégance	Y	Y	élégance	3.082	Novel	Metonymy	Low	3.1481481481481484	P22	Ce soir, l'élégance parisienne est venue en nombre assister au défilé.	70	8	13.0	4.419048	abstract	concrete	Y
P001	A	030	pauvreté	N	N	NA	2.721	Novel	Metonymy	Low	3.1481481481481484	P22	L'état souhaite aider la pauvreté à subvenir à ses besoins.	59	8	11.0	4.419048	abstract	concrete	Y
P001	A	031	paranoïa	N	N	NA	2.882	Novel	Metonymy	Low	3.1481481481481484	P22	Toute la paranoïa du pays a voté pour le même candidat.	55	8	15.0	4.419048	abstract	concrete	Y
P001	A	032	vérification	Y	Y	vérifications	2.052	Novel	Metonymy	High	5.481481481481482	P26	Elle a déposé les vérifications sur un plateau pour les envoyer à l'atelier.	76	12	12.0	4.649746	abstract	concrete	Y
P001	A	033	largage	Y	N	du	3.133	Novel	Metonymy	High	5.481481481481482	P26	La population affamée s'est emparée du largage dispersé sur la plage.	69	7	16.0	4.649746	abstract	concrete	Y
P001	A	034	liquidation	Y	Y	liquidations	2.321	Novel	Metonymy	High	5.481481481481482	P26	Je regrette d'avoir acheté des liquidations de mauvaise qualité.	64	11	13.0	4.649746	abstract	concrete	Y
P001	A	035	racket	N	N	NA	3.649	Novel	Metonymy	High	5.481481481481482	P26	On a trouvé dans leur sac un racket de plus de mille euros.	59	6	15.0	4.649746	abstract	concrete	Y
P001	A	036	bienveillance	N	N	NA	2.454	Novel	Metonymy	High	4.333333333333333	P24	Je ne supporte pas les bienveillances hypocrites de mon patron.	63	13	15.0	5.423077	abstract	abstract	N
P001	A	037	immaturité	N	N	NA	2.629	Novel	Metonymy	High	4.333333333333333	P24	À la suite d'une énième immaturité, elle a décidé de quitter son mari.	70	10	17.0	5.423077	abstract	abstract	N
P001	A	038	paternalisme	N	N	NA	2.514	Novel	Metonymy	High	4.333333333333333	P24	Elle a toujours eu horreur des paternalismes de son chef de poste.	66	12	17.0	5.423077	abstract	abstract	N
P001	A	039	sel	Y	N	d'	2.815	Novel	Metonymy	High	4.62962962962963	P25	Le cuisinier a vidé la moitié d'un sel dans la marmite de soupe.	64	3	12.0	4.214286	concrete	concrete	N
P001	A	040	vinaigre	N	N	NA	2.252	Novel	Metonymy	High	4.62962962962963	P25	J'ai versé le quart d'un vinaigre dans la salade de carottes.	61	8	14.0	4.214286	concrete	concrete	N
P001	A	041	ketchup	Y	Y	ketchup	2.006	Novel	Metonymy	High	4.62962962962963	P25	Les enfants ont mangé tout un ketchup avec leurs frites.	56	7	19.0	4.214286	concrete	concrete	N
P001	A	042	vanille	N	N	NA	3.184	Novel	Metonymy	High	4.62962962962963	P25	Elle a mis une vanille et demie dans sa crème pour lui donner du goût.	70	7	14.0	4.214286	concrete	concrete	N
P001	A	043	majordome	N	N	NA	1.605	Source	Metaphor	Low	2.5925925925925926	P12	Elle a confié ses bagages au majordome dès son arrivée au manoir.	65	9	17.0	3.398058	concrete	nan	nan
P001	A	044	acrobate	N	N	NA	3.104	Source	Metaphor	Low	2.5925925925925926	P12	La troupe est constituée de deux acrobates et de quatre jongleurs.	66	8	17.0	3.398058	concrete	nan	nan
P001	A	045	pompier	N	N	NA	2.956	Source	Metaphor	Low	2.5925925925925926	P12	Le premier pompier est arrivé sur place dix minutes après l'appel.	66	7	14.0	3.398058	concrete	nan	nan
P001	A	046	cacahuète	N	N	NA	2.016	Source	Metaphor	Low	2.4814814814814814	P11	Il a emporté un paquet de cacahuètes et quelques bières.	56	9	18.0	4.028708	concrete	nan	nan
P001	A	047	cerise	N	N	NA	2.187	Source	Metaphor	Low	2.4814814814814814	P11	Elle a préparé une délicieuse tarte aux cerises pour le dessert.	64	6	14.0	4.028708	concrete	nan	nan
